Symptoms,Disease,Description,Precautions,Medications,Doctor_Recommendation
"fatigue, chills, headache, dry cough, muscle aches, high fever, sweats",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"feeling stomach pain, headache, rash, weakness, prolonged high fever, loss of appetite",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"weakness, stomach pain, rash, loss of appetite, headache, prolonged high fever",Typhoid,"A bacterial infection that can lead to a high fever, diarrhea, and vomiting.","Drink boiled or bottled water, avoid raw foods.","Antibiotics (prescription only), Paracetamol for fever.",Requires immediate medical consultation for a proper antibiotic course.
"feeling stomach cramps, vomiting, muscle aches, low-grade fever, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"abdominal cramps, nausea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"muscle pain, rash",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"rash, muscle pain, joint pain, fatigue, pain behind eyes",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling high fever, fatigue, dry cough, chills, sweats, headache",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"suffering from nausea, diarrhea, vomiting, stomach cramps, muscle aches",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"experiencing body aches, dry cough, loss of smell, fatigue",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"feeling sweats, chills, headache, high fever, dry cough, muscle aches, fatigue",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"i have sneezing, runny nose",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"experiencing abdominal cramps, vomiting, fever, diarrhea, nausea",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"i have sore throat, sneezing",Common Cold,A common viral infection of the nose and throat.,"Rest, drink plenty of fluids, wash hands often.","Paracetamol, Ibuprofen, Decongestants, Cough syrup.",Consult if symptoms last more than a week or if you develop a high fever.
"pain behind eyes, fatigue, rash",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"itchy throat, nasal congestion",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"feeling runny nose, sneezing, itchy eyes, watery eyes, nasal congestion",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"experiencing sensitivity to light, nausea, sensitivity to sound, throbbing pain, severe headache",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"high fever, rash, fatigue, severe headache, muscle pain, joint pain",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"experiencing itchy throat, nasal congestion",Allergic Rhinitis,"An allergic response causing itchy, watery eyes, sneezing, and other similar symptoms.","Avoid allergens (dust, pollen), keep indoors during high pollen seasons.","Antihistamines (Cetirizine, Loratadine), Nasal corticosteroids.",Consult an allergist if symptoms are severe and unresponsive to over-the-counter medicine.
"suffering from nausea, throbbing pain, sensitivity to light, sensitivity to sound, vomiting, severe headache",Migraine,"A neurological condition that can cause multiple symptoms, frequently characterized by intense, debilitating headaches.","Rest in a quiet and dark room, avoid known triggers like caffeine or stress.","Ibuprofen, Triptans (prescription), Aspirin.",Consult a neurologist if migraines are frequent and severely disrupt daily life.
"experiencing headache, muscle aches, fatigue, chills, high fever, sweats",Influenza (Flu),A viral infection that attacks your respiratory system.,"Strict bed rest, isolate yourself, stay hydrated.","Oseltamivir (if prescribed early), Paracetamol for fever.",Consult a doctor immediately if you experience shortness of breath or persistent chest pain.
"feeling nausea, diarrhea, weakness",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"i have vomiting, nausea, fever",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"suffering from rash, high fever",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling body aches, loss of smell, shortness of breath, loss of taste, fatigue, dry cough",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
"experiencing fever, vomiting, nausea, weakness",Food Poisoning,Illness caused by eating contaminated food.,"Rest, stay hydrated with sips of water or clear broths.","Oral rehydration salts, Bismuth subsalicylate.","Consult a doctor if symptoms last more than a few days, or if you have a very high fever."
"i have severe headache, joint pain, high fever, muscle pain, fatigue",Dengue Fever,A mosquito-borne viral disease occurring in tropical and subtropical areas.,"Use mosquito nets, wear long sleeves, use repellents.",Paracetamol for fever. STRICTLY AVOID Aspirin or Ibuprofen.,Hospitalization may be required; consult immediately if experiencing severe abdominal pain or bleeding.
"feeling vomiting, low-grade fever, muscle aches, diarrhea, nausea",Gastroenteritis (Stomach Flu),"An intestinal infection marked by diarrhea, cramps, nausea, vomiting, and fever.","Stay hydrated, eat bland foods, wash hands thoroughly.","Oral rehydration salts (ORS), Loperamide (if advised).","Consult if you cannot keep liquids down for 24 hours, or if there is blood in stool."
"i have sore throat, loss of smell, loss of taste",COVID-19,A highly contagious respiratory illness caused by the SARS-CoV-2 virus.,"Isolate, wear a mask, monitor oxygen levels.","Paracetamol, Vitamin C, Zinc, prescribed antivirals if severe.",Seek immediate medical attention if oxygen drops below 94% or you have difficulty breathing.
